75,38,35,10,50,20,80,NaN,20,66,78,NaN,20,28,18,NaN,NaN,NaN,NaN,25,NaN,22,NaN,NaN,40,NaN,20,25,36,19,75,37,40,75,30,72,28,80,58,51,60,86,70,35,52,30,25,82,80,35,47,38,24,80,63,67,61,25,55,27,75,37,41,75,27,67,30,73,66,54,55,81,63,34,54,30,24,82,78,33,42,33,24,77,63,66,68,22,48,27
71,50,50,5,40,20,65,NaN,15,33,60,NaN,20,25,15,NaN,NaN,NaN,NaN,NaN,NaN,20,NaN,NaN,25,NaN,15,15,15,10,75,36,40,70,25,60,33,50,65,50,50,75,60,35,50,40,20,60,60,30,50,25,33,70,60,65,75,20,40,20,75,37,40,75,25,60,30,65,68,52,50,80,60,35,50,30,20,80,80,30,40,30,20,80,60,65,66,20,40,26
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,36,42,NaN,62,33,65,NaN,19,38,53,NaN,19,21,18,NaN,NaN,NaN,NaN,23,NaN,24,NaN,NaN,18,NaN,12,18,11,13,73,37,43,77,23,64,16,58,71,52,54,79,52,24,46,27,21,83,77,24,31,27,19,76,57,61,66,19,48,28,79,33,37,74,23,61,18,58,71,52,53,79,58,24,47,27,21,83,77,25,31,27,19,76,59,62,67,19,48,26
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
75,35,15,75,35,25,80,NaN,20,40,75,NaN,15,20,10,NaN,NaN,NaN,NaN,30,NaN,25,NaN,NaN,20,NaN,10,15,15,20,75,35,20,75,25,25,30,70,80,55,50,80,60,20,65,10,15,80,80,30,25,30,20,80,70,70,70,15,30,25,75,35,25,75,25,65,25,70,80,60,55,80,55,20,65,20,15,80,80,25,25,20,30,80,70,70,75,15,60,30
20,50,25,25,20,10,NaN,30,NaN,45,25,10,15,NaN,30,NaN,NaN,15,30,NaN,50,NaN,NaN,15,35,40,NaN,NaN,20,NaN,20,50,25,25,20,20,30,30,60,45,60,25,30,40,60,35,35,25,40,40,70,45,40,25,45,60,30,55,65,30,20,50,25,25,20,30,30,30,60,45,60,25,30,40,60,35,35,25,40,40,70,40,35,25,40,55,30,50,65,35
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60,40,50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,30,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,35,30,25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
21,63,29,20,17,21,11,41,22,50,25,8,22,NaN,29,NaN,NaN,19,31,NaN,69,NaN,NaN,19,36,33,NaN,NaN,19,NaN,21,63,28,22,18,31,34,27,72,59,50,29,22,60,67,31,32,18,38,37,80,27,34,21,27,39,32,29,62,35,21,66,28,24,19,33,36,33,72,67,61,29,22,60,67,31,32,19,38,37,80,27,34,21,27,51,32,29,62,35
15,50,25,31,13,25,NaN,51,NaN,44,22,15,18,NaN,31,NaN,NaN,34,22,5,55,32,NaN,9,NaN,NaN,NaN,NaN,12,NaN,12,60,22,32,20,24,40,41,81,44,22,15,18,NaN,31,40,40,34,22,36,85,21,22,22,36,36,15,25,81,44,15,64,23,32,20,24,40,41,81,44,22,15,18,42,31,40,40,34,36,36,85,21,22,22,36,36,15,25,81,44
20,60,20,35,20,10,NaN,NaN,NaN,45,25,10,35,NaN,30,NaN,NaN,20,30,NaN,65,NaN,NaN,20,30,36,NaN,NaN,20,NaN,21,65,19,30,25,40,NaN,34,NaN,63,70,30,30,40,65,30,35,30,35,30,70,30,35,30,25,50,30,30,70,33,22,70,23,35,25,41,30,33,80,65,70,30,30,55,70,40,37,35,35,33,70,30,35,30,30,46,38,30,70,33
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,32,38,20,55,38,NaN,NaN,40,NaN,48,25,30,7,58,NaN,NaN,NaN,30,55,42,NaN,NaN,NaN,28,NaN,NaN,33,39,45,35,33,38,40,50,48,35,38,55,35,35,45,53,40,38,38,45,30,37,48,45,38,32,35,29,38,40,40,47,43,35,55,46,47,50,45,50,35,55,40,43,40,58,35,35,38,50,38,35,48,45,38,34,32,30,38,40,42
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,20,25,15,60,50,NaN,NaN,35,NaN,70,15,15,20,50,30,20,40,50,65,50,NaN,NaN,NaN,20,NaN,NaN,NaN,50,60,30,35,40,25,40,45,35,35,75,40,60,55,70,20,50,25,60,40,40,65,50,20,18,15,23,30,50,50,60,70,32,50,38,70,35,40,35,40,70,35,50,55,75,20,40,30,60,40,40,60,55,25,18,20,25,35,60,55
NaN,NaN,NaN,NaN,NaN,NaN,35,29,NaN,33,27,NaN,55,11,15,NaN,48,NaN,NaN,NaN,19,61,23,17,NaN,NaN,11,NaN,NaN,24,NaN,NaN,NaN,50,30,80,30,20,22,29,60,24,35,50,80,22,23,29,72,25,15,66,40,16,16,22,23,42,59,36,NaN,NaN,NaN,45,28,60,27,21,30,33,67,21,30,40,72,24,32,22,67,26,18,51,56,17,19,21,21,61,71,48
NaN,NaN,NaN,NaN,NaN,NaN,36,23,NaN,NaN,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18,18,18,21,76,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16,25,9,20,23,20,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,65,25,25,40,20,50,45,NaN,NaN,33,NaN,75,13,20,NaN,75,NaN,NaN,NaN,25,75,35,NaN,NaN,NaN,22,NaN,NaN,25,45,65,25,40,20,70,30,40,40,30,75,21,39,58,77,40,33,39,72,30,25,50,63,24,25,33,28,65,75,65,45,60,30,45,30,75,30,42,35,32,75,25,38,58,78,40,35,39,72,30,25,50,60,25,25,33,28,60,70,60
15,73,9,19,77,12,57,21,57,10,21,47,58,34,29,12,26,16,9,9,13,14,14,28,32,23,19,18,56,70,14,74,16,20,80,10,62,21,63,9,28,49,57,35,28,16,21,17,7,14,14,10,13,8,39,24,20,18,59,72,16,76,17,11,83,12,61,22,58,11,21,39,47,30,31,15,25,13,10,19,21,11,13,9,37,22,18,17,57,72
99,99,99,75,75,75,86,85,85,95,95,95,75,95,95,60,80,85,90,90,90,65,65,65,65,75,85,95,95,95,80,88,86,60,80,60,65,70,70,55,67,77,65,90,90,70,85,90,75,85,85,50,55,65,50,55,85,85,85,85,75,85,75,70,85,65,75,76,80,55,65,70,56,80,80,75,95,95,65,75,75,50,65,75,50,50,65,85,85,85
